[2026-08-25T07:27:15.553Z] GET http://localhost:5177/src/chrome.js?t=1787489018209 → 200 (2ms, ?B)
[2026-08-25T07:27:15.553Z] GET http://localhost:5177/src/hero.js?t=1787489778487 → 200 (3ms, ?B)
[2026-08-25T07:27:15.553Z] GET http://localhost:5177/node_modules/vite/dist/client/env.mjs → 200 (2ms, ?B)
[2026-08-25T07:27:15.556Z] GET http://localhost:5177/node_modules/.vite/deps/motion.js?v=8cf2488a → 200 (?ms, -312B)
[2026-08-25T07:27:15.571Z] GET https://fonts.gstatic.com/s/newsreader/v26/cY9CfjOCX1hbuyalUrK439vCjohC.woff2 → 200 (1ms, -816B)
[2026-08-25T07:27:15.572Z] GET https://fonts.gstatic.com/s/newsreader/v26/cY9AfjOCX1hbuyalUrK4397yjA.woff2 → 200 (?ms, -816B)
[2026-08-25T07:27:15.572Z] GET http://localhost:5177/src/bloom/scene.js?t=1787489938677 → 200 (5ms, ?B)
[2026-08-25T07:27:15.578Z] GET http://localhost:5177/node_modules/.vite/deps/three.js?v=8cf2488a → 200 (?ms, -310B)
[2026-08-25T07:27:15.578Z] GET http://localhost:5177/node_modules/.vite/deps/three_examples_jsm_postprocessing_EffectComposer__js.js?v=8cf2488a → 200 (?ms, -310B)
[2026-08-25T07:27:15.579Z] GET http://localhost:5177/node_modules/.vite/deps/three_examples_jsm_postprocessing_RenderPass__js.js?v=8cf2488a → 200 (?ms, -308B)
[2026-08-25T07:27:15.579Z] GET http://localhost:5177/node_modules/.vite/deps/three_examples_jsm_postprocessing_UnrealBloomPass__js.js?v=8cf2488a → 200 (?ms, -310B)
[2026-08-25T07:27:15.579Z] GET http://localhost:5177/node_modules/.vite/deps/three_examples_jsm_postprocessing_ShaderPass__js.js?v=8cf2488a → 200 (?ms, -307B)
[2026-08-25T07:27:15.579Z] GET http://localhost:5177/node_modules/.vite/deps/three_examples_jsm_postprocessing_OutputPass__js.js?v=8cf2488a → 200 (?ms, -309B)
[2026-08-25T07:27:15.580Z] GET http://localhost:5177/src/bloom/textures.js?t=1787488962619 → 200 (3ms, ?B)
[2026-08-25T07:27:15.580Z] GET http://localhost:5177/src/bloom/entity.js?t=1787489938677 → 200 (3ms, ?B)
[2026-08-25T07:27:15.580Z] GET http://localhost:5177/src/bloom/field.js?t=1787488962613 → 200 (3ms, ?B)
[2026-08-25T07:27:15.580Z] GET http://localhost:5177/src/bloom/settle.js?t=1787489778483 → 200 (3ms, ?B)
[2026-08-25T07:27:15.581Z] GET http://localhost:5177/src/bloom/material.js?t=1787489938677 → 200 (2ms, ?B)
[2026-08-25T07:27:15.581Z] GET http://localhost:5177/src/bloom/motif.js → 200 (2ms, ?B)
[2026-08-25T07:27:15.581Z] GET http://localhost:5177/node_modules/.vite/deps/chunk-IT3TP6RZ.js?v=8cf2488a → 200 (?ms, -314B)
[2026-08-25T07:27:15.581Z] GET http://localhost:5177/node_modules/.vite/deps/chunk-NY4Z4LNU.js?v=8cf2488a → 200 (?ms, -307B)
[2026-08-25T07:27:15.581Z] GET http://localhost:5177/node_modules/.vite/deps/chunk-WYHAABFN.js?v=8cf2488a → 200 (?ms, -308B)
[2026-08-25T07:27:15.581Z] GET http://localhost:5177/node_modules/.vite/deps/chunk-IEZS3O2Z.js?v=8cf2488a → 200 (?ms, -308B)
[2026-08-25T07:27:47.373Z] GET http://localhost:5177/ → 200 (4ms, ?B)
[2026-08-25T07:27:47.462Z] GET http://localhost:5177/@vite/client → 200 (6ms, ?B)
[2026-08-25T07:27:47.462Z] GET https://fonts.googleapis.com/css2?family=Newsreader:ital,opsz,wght@0,6..72,200..400;1,6..72,200..300&display=swap → 200 (?ms, -743B)
[2026-08-25T07:27:47.462Z] GET http://localhost:5177/assets/bloom-still.svg → 304 (6ms, ?B)
[2026-08-25T07:27:47.462Z] GET http://localhost:5177/src/main.js?t=1787489938677 → 200 (6ms, ?B)
[2026-08-25T07:27:47.468Z] GET https://fonts.gstatic.com/s/newsreader/v26/cY9CfjOCX1hbuyalUrK439vCjohC.woff2 → 200 (?ms, -816B)
[2026-08-25T07:27:47.468Z] GET https://fonts.gstatic.com/s/newsreader/v26/cY9AfjOCX1hbuyalUrK4397yjA.woff2 → 200 (?ms, -816B)
[2026-08-25T07:27:47.469Z] GET http://localhost:5177/src/styles/watl.css?t=1787489018152 → 200 (1ms, ?B)
[2026-08-25T07:27:47.469Z] GET http://localhost:5177/src/chrome.js?t=1787489018209 → 200 (2ms, ?B)
[2026-08-25T07:27:47.469Z] GET http://localhost:5177/src/hero.js?t=1787489778487 → 200 (3ms, ?B)
[2026-08-25T07:27:47.469Z] GET http://localhost:5177/node_modules/vite/dist/client/env.mjs → 200 (2ms, ?B)
[2026-08-25T07:27:47.472Z] GET http://localhost:5177/node_modules/.vite/deps/motion.js?v=8cf2488a → 200 (?ms, -312B)
[2026-08-25T07:27:47.483Z] GET http://localhost:5177/src/bloom/scene.js?t=1787489938677 → 200 (7ms, ?B)
[2026-08-25T07:27:47.492Z] GET http://localhost:5177/node_modules/.vite/deps/three.js?v=8cf2488a → 200 (?ms, -310B)
[2026-08-25T07:27:47.492Z] GET http://localhost:5177/node_modules/.vite/deps/three_examples_jsm_postprocessing_EffectComposer__js.js?v=8cf2488a → 200 (?ms, -310B)
[2026-08-25T07:27:47.492Z] GET http://localhost:5177/node_modules/.vite/deps/three_examples_jsm_postprocessing_RenderPass__js.js?v=8cf2488a → 200 (?ms, -308B)
[2026-08-25T07:27:47.492Z] GET http://localhost:5177/node_modules/.vite/deps/three_examples_jsm_postprocessing_UnrealBloomPass__js.js?v=8cf2488a → 200 (?ms, -310B)
[2026-08-25T07:27:47.493Z] GET http://localhost:5177/node_modules/.vite/deps/three_examples_jsm_postprocessing_ShaderPass__js.js?v=8cf2488a → 200 (?ms, -307B)
[2026-08-25T07:27:47.493Z] GET http://localhost:5177/node_modules/.vite/deps/three_examples_jsm_postprocessing_OutputPass__js.js?v=8cf2488a → 200 (?ms, -309B)
[2026-08-25T07:27:47.493Z] GET http://localhost:5177/src/bloom/textures.js?t=1787488962619 → 200 (2ms, ?B)
[2026-08-25T07:27:47.493Z] GET http://localhost:5177/src/bloom/entity.js?t=1787489938677 → 200 (3ms, ?B)
[2026-08-25T07:27:47.493Z] GET http://localhost:5177/src/bloom/field.js?t=1787488962613 → 200 (2ms, ?B)
[2026-08-25T07:27:47.493Z] GET http://localhost:5177/src/bloom/settle.js?t=1787489778483 → 200 (2ms, ?B)
[2026-08-25T07:27:47.493Z] GET http://localhost:5177/src/bloom/material.js?t=1787489938677 → 200 (2ms, ?B)
[2026-08-25T07:27:47.493Z] GET http://localhost:5177/src/bloom/motif.js → 200 (2ms, ?B)
[2026-08-25T07:27:47.493Z] GET http://localhost:5177/node_modules/.vite/deps/chunk-IT3TP6RZ.js?v=8cf2488a → 200 (?ms, -314B)
[2026-08-25T07:27:47.493Z] GET http://localhost:5177/node_modules/.vite/deps/chunk-NY4Z4LNU.js?v=8cf2488a → 200 (?ms, -307B)
[2026-08-25T07:27:47.493Z] GET http://localhost:5177/node_modules/.vite/deps/chunk-WYHAABFN.js?v=8cf2488a → 200 (?ms, -308B)
[2026-08-25T07:27:47.493Z] GET http://localhost:5177/node_modules/.vite/deps/chunk-IEZS3O2Z.js?v=8cf2488a → 200 (?ms, -308B)
[2026-08-25T07:27:57.410Z] GET http://localhost:5177/ → 200 (7ms, ?B)
[2026-08-25T07:27:57.534Z] GET http://localhost:5177/@vite/client → 200 (3ms, ?B)
[2026-08-25T07:27:57.534Z] GET https://fonts.googleapis.com/css2?family=Newsreader:ital,opsz,wght@0,6..72,200..400;1,6..72,200..300&display=swap → 200 (?ms, -743B)
[2026-08-25T07:27:57.535Z] GET http://localhost:5177/assets/bloom-still.svg → 304 (1ms, ?B)
[2026-08-25T07:27:57.535Z] GET http://localhost:5177/src/main.js?t=1787489938677 → 200 (2ms, ?B)
[2026-08-25T07:27:57.538Z] GET http://localhost:5177/src/styles/watl.css?t=1787489018152 → 200 (1ms, ?B)
[2026-08-25T07:27:57.538Z] GET http://localhost:5177/src/chrome.js?t=1787489018209 → 200 (2ms, ?B)
[2026-08-25T07:27:57.538Z] GET http://localhost:5177/src/hero.js?t=1787489778487 → 200 (2ms, ?B)
[2026-08-25T07:27:57.538Z] GET http://localhost:5177/node_modules/vite/dist/client/env.mjs → 200 (1ms, ?B)
[2026-08-25T07:27:57.541Z] GET http://localhost:5177/node_modules/.vite/deps/motion.js?v=8cf2488a → 200 (?ms, -312B)
[2026-08-25T07:27:57.560Z] GET https://fonts.gstatic.com/s/newsreader/v26/cY9CfjOCX1hbuyalUrK439vCjohC.woff2 → 200 (?ms, -816B)
[2026-08-25T07:27:57.560Z] GET https://fonts.gstatic.com/s/newsreader/v26/cY9AfjOCX1hbuyalUrK4397yjA.woff2 → 200 (?ms, -816B)
[2026-08-25T07:27:57.561Z] GET http://localhost:5177/src/bloom/scene.js?t=1787489938677 → 200 (6ms, ?B)
[2026-08-25T07:27:57.571Z] GET http://localhost:5177/node_modules/.vite/deps/three.js?v=8cf2488a → 200 (?ms, -310B)
[2026-08-25T07:27:57.571Z] GET http://localhost:5177/node_modules/.vite/deps/three_examples_jsm_postprocessing_EffectComposer__js.js?v=8cf2488a → 200 (?ms, -310B)
